,Word,Occurences_Before,Occurences_After,Percent_Before,Percent_After,Delta
285,чорні,17,9,0.0003398029143097004,0.0001948726831803222,-0.00014493023112937818
286,твого,17,19,0.0003398029143097004,0.0004113978867140135,7.159497240431312e-05
287,місяць,17,9,0.0003398029143097004,0.0001948726831803222,-0.00014493023112937818
288,любові,17,20,0.0003398029143097004,0.00043305040706738266,9.324749275768228e-05
289,твоїх,17,12,0.0003398029143097004,0.0002598302442404296,-7.997267006927078e-05
290,зими,17,11,0.0003398029143097004,0.00023817772388706046,-0.00010162519042263991
291,цій,17,7,0.0003398029143097004,0.00015156764247358393,-0.00018823527183611644
292,буду,17,28,0.0003398029143097004,0.0006062705698943357,0.00026646765558463535
293,варта,17,0,0.0003398029143097004,0.0,0.0
294,раз,17,13,0.0003398029143097004,0.0002814827645937987,-5.8320149715901674e-05
295,особливо,17,4,0.0003398029143097004,8.661008141347653e-05,-0.00025319283289622384
296,природно,17,0,0.0003398029143097004,0.0,0.0
297,справді,17,7,0.0003398029143097004,0.00015156764247358393,-0.00018823527183611644
298,поля,16,14,0.00031981450758560037,0.00030313528494716786,-1.6679222638432505e-05
299,якої,16,15,0.00031981450758560037,0.00032478780530053697,4.973297714936601e-06
300,своє,16,12,0.00031981450758560037,0.0002598302442404296,-5.998426334517077e-05
301,мови,16,16,0.00031981450758560037,0.00034644032565390613,2.662581806830576e-05
302,двері,16,19,0.00031981450758560037,0.0004113978867140135,9.158337912841313e-05
303,трохи,16,18,0.00031981450758560037,0.0003897453663606444,6.993085877504403e-05
304,житті,16,8,0.00031981450758560037,0.00017322016282695306,-0.0001465943447586473
305,долоні,16,11,0.00031981450758560037,0.00023817772388706046,-8.16367836985399e-05
306,дому,16,15,0.00031981450758560037,0.00032478780530053697,4.973297714936601e-06
307,серця,16,17,0.00031981450758560037,0.00036809284600727523,4.827833842167487e-05
308,губи,16,6,0.00031981450758560037,0.0001299151221202148,-0.00018989938546538557
309,своїм,16,16,0.00031981450758560037,0.00034644032565390613,2.662581806830576e-05
310,дуже,16,8,0.00031981450758560037,0.00017322016282695306,-0.0001465943447586473
311,ній,16,10,0.00031981450758560037,0.00021652520353369133,-0.00010328930405190904
312,как,16,7,0.00031981450758560037,0.00015156764247358393,-0.00016824686511201644
313,візьми,16,2,0.00031981450758560037,4.3305040706738266e-05,-0.0002765094668788621
314,листи,16,3,0.00031981450758560037,6.49575610601074e-05,-0.000254856946525493
315,пахне,16,10,0.00031981450758560037,0.00021652520353369133,-0.00010328930405190904
316,знов,16,14,0.00031981450758560037,0.00030313528494716786,-1.6679222638432505e-05
317,війну,16,25,0.00031981450758560037,0.0005413130088342284,0.00022149850124862798
318,тепло,16,10,0.00031981450758560037,0.00021652520353369133,-0.00010328930405190904
319,тихо,16,13,0.00031981450758560037,0.0002814827645937987,-3.8331742991801665e-05
320,думай,16,1,0.00031981450758560037,2.1652520353369133e-05,-0.0002981619872322312
321,жити,15,18,0.0002998261008615003,0.0003897453663606444,8.991926549914409e-05
322,ніж,15,26,0.0002998261008615003,0.0005629655291875974,0.0002631394283260971
323,душі,15,10,0.0002998261008615003,0.00021652520353369133,-8.330089732780897e-05
324,якою,15,4,0.0002998261008615003,8.661008141347653e-05,-0.00021321601944802377
325,проте,15,2,0.0002998261008615003,4.3305040706738266e-05,-0.00025652106015476204
326,цієї,15,14,0.0002998261008615003,0.00030313528494716786,3.3091840856675587e-06
327,зараз,15,20,0.0002998261008615003,0.00043305040706738266,0.00013322430620588236
328,бачу,15,7,0.0002998261008615003,0.00015156764247358393,-0.00014825845838791637
329,лиш,15,25,0.0002998261008615003,0.0005413130088342284,0.00024148690797272805
330,починається,15,3,0.0002998261008615003,6.49575610601074e-05,-0.0002348685398013929
331,речей,15,2,0.0002998261008615003,4.3305040706738266e-05,-0.00025652106015476204
332,рук,15,9,0.0002998261008615003,0.0001948726831803222,-0.0001049534176811781
333,обличчя,15,33,0.0002998261008615003,0.0007145331716611814,0.0004147070707996811
334,дні,15,19,0.0002998261008615003,0.0004113978867140135,0.0001115717858525132
